Word	Part-Of-Speech	Weight	Frequency
基因	n	54.69	117
人类	n	52.42	125
实验	n	39.44	88
什么	n_new	35.93	83
没有	v	34.30	59
伦理	n	34.07	63
可以	v	28.42	49
研究	v	27.47	42
中国	ns	27.12	44
科学家	n	25.46	42
孩子	n	24.61	66
技术	n	24.17	44
科学	n	23.71	40
伦理道德	n_new	22.63	23
基因编辑	n_new	22.62	23
应该	v	22.56	37
婴儿	n	21.45	37
艾滋	nr	20.97	5
可能	v	19.74	32
觉得	v	19.58	36
出来	vf	18.86	21
转基因	n	18.84	20
国家	n	18.01	19
世界	n	17.78	27
问题	n	17.48	33
底线	n	16.72	43
科技	n	16.39	24
自然	n	16.18	22
改变	v	15.31	21
病毒	n	15.15	16
知道	v	15.12	45
道德	n	15.01	33
进化	vi	14.48	23
无法	v	14.39	14
违背	v	14.31	20
发展	vn	14.25	19
禁止	v	14.23	16
评论	n	14.10	16
出现	v	14.04	17
露娜	nrf	13.82	5
进行	vx	13.54	13
后果	n	13.24	14
违背伦理	n_new	12.72	20
牛逼	n_new	12.63	8
编辑	n	12.60	17
生命	n	12.59	17
超人	n	12.59	13
疾病	n	12.56	16
看到	v	12.56	10
社会	n	12.54	11
成为	v	12.53	14
医学	n	12.53	18
反对	v	12.41	14
    	n	12.41	37
电影	n	12.28	16
进步	vn	12.18	21
希望	v	11.74	16
美国	nsf	11.52	14
开始	v	11.50	11
试验	vn	11.46	10
改造	v	11.41	18
违反	v	11.39	13
出生	vi	11.39	12
人体	n	11.39	12
发生	v	11.33	12
感觉	n	10.74	17
感染	v	10.59	9
修改	v	10.55	10
人性	n	10.49	12
时间	n	10.47	9
突破	v	10.46	11
整个中国	n_new	10.37	3
研究成果	n_new	10.37	3
贺教授	n_new	10.36	3
基因缺陷	n_new	10.36	3
事情	n	10.22	26
人体实验	n_new	10.19	11
孩子长大	n_new	9.91	6
是否	v	9.67	9
学者	n	9.64	7
新闻	n	9.62	9
变成	v	9.61	8
报道	v	9.59	8
结果	n	9.59	8
生存	vi	9.59	8
免疫	vn	9.59	8
影响	v	9.55	16
失败	vi	9.55	9
尊重	v	9.52	11
接受	v	9.50	9
动物	n	9.45	8
胚胎	n	9.45	10
起来	vf	9.34	10
魔盒	n_new	9.00	16
支持	v	8.97	17
造福人类	n_new	8.86	8
基因工程	n_new	8.85	5
可怕	a	8.72	57
生物	n	8.69	11
富人	n	8.69	10
通过	v	8.60	8
媒体	n	8.60	8
活体实验	n_new	8.59	7
风险	n	8.58	10
权利	n	8.56	7
以为	v	8.56	7
想想	v	8.56	7
试验品	n	8.56	7
相信	v	8.51	8
变异	n	8.51	8
东西	n	8.51	10
能够	v	8.47	6
治疗	v	8.47	6
穷人	n	8.46	8
进入	v	8.41	9
一个	mq	8.31	40
人伦	n	8.28	9
领域	n	8.27	8
时代	n	8.27	8
负责	v	8.25	10
打开	v	8.01	11
已经	d	7.89	24
国家规定	n_new	7.76	2
个人认为	n_new	7.76	2
无法理解	n_new	7.76	2
没有信仰	n_new	7.76	2
是否知情	n_new	7.76	2
违反自然规律	n_new	7.76	2
科幻电影	n_new	7.76	2
人为进化	n_new	7.76	2
违背良心	n_new	7.76	2
违背自然规律	n_new	7.76	2
生下来	n_new	7.62	5
未知	vn	7.62	10
谴责	v	7.60	7
阻止人类	n_new	7.59	3
宣传	v	7.55	11
人生	n	7.55	11
利益	n	7.54	7
诞生	vi	7.54	6
上帝	n	7.51	7
继续	v	7.48	6
法律	n	7.48	6
人家	n	7.48	6
超级人类	n_new	7.46	4
微博	n_new	7.46	4
整个人类	n_new	7.46	4
生化危机	n_new	7.46	4
转基因食品	n_new	7.46	4
个人	n	7.44	7
王思聪	nr	7.44	3
处理	v	7.44	8
父母	n	7.41	8
值得	v	7.38	8
政府	n	7.38	5
成果	n	7.38	7
小孩	n	7.38	7
受到	v	7.38	5
存在	v	7.38	5
科研	n	7.38	5
限制	v	7.38	5
想象	v	7.38	5
艾滋病	n	7.38	5
灭亡	vi	7.38	5
正常人	n	7.38	5
考虑	v	7.33	8
医院	n	7.33	8
解决	v	7.30	6
能力	n	7.30	6
意义	n	7.30	6
带来	v	7.30	6
消息	n	7.30	6
成功	a	7.24	19
长大	vi	6.97	11
歧视	v	6.43	6
部队	n	6.41	10
作为	v	6.36	5
允许	v	6.35	5
普通人	n	6.35	5
判刑	vi	6.35	5
毒液	n	6.35	5
生老病死	nl	6.32	5
细思极恐	n_new	6.28	7
克隆	v	6.24	6
受精卵	n	6.24	6
么	nr1	6.23	97
我国	n	6.22	4
需要	v	6.22	4
专家	n	6.22	4
贡献	n	6.22	4
只能	v	6.22	4
战争	n	6.22	4
制造	v	6.22	4
属于	v	6.22	4
操作	v	6.22	4
承认	v	6.22	4
估计	v	6.22	4
牺牲	v	6.22	4
好像	v	6.22	4
癌症	n	6.22	4
拯救	v	6.22	4
艾滋病毒	n	6.22	4
敬畏	vn	6.22	4
疯子	n	6.22	4
网友	n	6.22	4
掌控	n_new	6.17	4
区别	n	6.14	9
国际	n	6.14	5
建立	v	6.14	5
出去	vf	6.13	5
看看	v	6.13	5
奴隶	n	6.13	5
下去	vf	6.13	6
恐怖	a	6.01	28
产生	v	5.99	6
旧人类	n_new	5.95	3
   	n	5.95	6
人民网	nt	5.95	3
现在	t	5.94	31
不好	a	5.80	12
日本	nsf	5.67	14
双胞胎	n	5.58	8
不能	v	5.56	7
教授	n	5.44	6
缺陷	n	5.44	6
还是	d	5.41	15
全人类	n	5.40	7
时候	n	5.39	7
敢	v	5.37	28
还有	v	5.33	6
严重	a	5.30	9
直接	ad	5.28	10
样子	n	5.26	6
部门	n	5.25	5
全世界	n	5.25	5
规则	n	5.25	5
抵抗	v	5.25	5
长生不老	vl	5.25	5
认为	v	5.14	4
好事	n	5.14	6
灾难	n	5.14	6
造成	v	5.14	4
污染	vn	5.14	4
模式	n	5.14	4
家伙	n	5.14	4
惧怕	v	5.14	4
行为	n	5.12	8
理解	v	5.11	5
现实	n	5.07	6
必然	n	5.03	5
阻止	v	5.03	5
后遗症	n	5.03	5
方面	n	4.96	3
教育	vn	4.96	3
生活	vi	4.96	3
环境	n	4.96	3
人们	n	4.96	3
知识	n	4.96	3
方式	n	4.96	3
了解	v	4.96	3
发现	v	4.96	3
保证	v	4.96	3
文明	n	4.96	3
系列	n	4.96	3
讨论	v	4.96	3
面对	v	4.96	3
面临	v	4.96	3
选择	v	4.96	3
公开	v	4.96	3
违法	vn	4.96	3
用于	v	4.96	3
掌握	v	4.96	3
承担	v	4.96	3
不可	v	4.96	3
规律	n	4.96	3
舆论	n	4.96	3
监管	v	4.96	3
差距	n	4.96	3
志愿者	n	4.96	3
死亡	vi	4.96	3
医生	n	4.96	3
危险	n	4.96	3
预防	vn	4.96	3
审查	vn	4.96	3
观察	v	4.96	3
担心	v	4.96	3
自愿	v	4.96	3
秘密	n	4.96	3
结婚	vi	4.96	3
抵御	v	4.96	3
游戏	n	4.96	3
改良	vn	4.96	3
预料	v	4.96	3
自然界	n	4.96	3
脑子	n	4.96	3
加油	vi	4.96	3
耻辱	n	4.96	3
鄙视	v	4.96	3
畜生	n	4.96	3
情况	n	4.89	6
想到	v	4.88	9
外国	n	4.86	4
程序	n	4.86	4
明白	v	4.86	4
大于	v	4.86	4
争议	vn	4.86	4
优胜劣汰	vl	4.86	2
良心	n	4.86	4
遗传	vi	4.86	4
可怜	v	4.86	4
完全	ad	4.79	8
跟	v	4.78	15
开展	v	4.72	5
厉害	a	4.56	15
后果不堪设想	n_new	4.55	3
新京报	ntbj	4.55	3
一样	a	4.44	13
恐惧	a	4.32	8
真是耻辱	n_new	4.21	2
实验品	n_new	4.21	2
科研人员	n_new	4.21	2
非自然	n_new	4.21	2
蝴蝶效应	n_new	4.21	2
提前发生	n_new	4.21	2
道德沦丧	n_new	4.21	2
彻查	n_new	4.21	2
三观	n_new	4.21	2
健康	a	4.20	7
死	v	4.16	13
所谓	v	4.13	7
结婚生子	n_new	4.10	3
建议	n	4.07	4
自然规律	nl	4.06	4
未来	t	4.03	30
命运	n	4.00	5
一	m	4.00	71
就是	d	4.00	12
一生	n	3.96	4
生	v	3.89	10
淘汰	v	3.87	5
坏事	n	3.87	5
坐牢	vi	3.87	5
定制	vn	3.86	3
越来越	d	3.84	8
责任	n	3.80	7
表示	v	3.79	3
制度	n	3.79	3
规定	n	3.79	3
过程	n	3.79	3
办法	n	3.79	3
减少	v	3.79	3
关注	v	3.79	3
下来	vf	3.79	3
科学技术	n	3.79	3
愿意	v	3.79	3
比如	v	3.79	3
不知	v	3.79	3
反应	vi	3.79	3
约束	vn	3.79	3
信仰	vn	3.79	3
尝试	vn	3.79	3
震惊	v	3.79	3
改编	v	3.79	3
后代	n	3.79	3
惩罚	v	3.79	3
死刑	n	3.79	3
初衷	n	3.79	3
毁灭	v	3.79	3
观望	v	3.79	3
法则	n	3.79	3
说不定	vl	3.79	3
魔鬼	n	3.79	3
臭名昭著	vl	3.79	3
反派	n	3.79	3
脱靶	v	3.79	3
全球	n	3.79	2
想起	v	3.79	4
白鼠	n_new	3.75	8
必须	d	3.74	11
宣扬	v	3.72	6
无知	a	3.69	5
批准	v	3.68	4
无辜	n	3.68	4
安全	an	3.65	6
霍金	nrf	3.62	2
合法	a	3.58	7
活	v	3.56	12
经济	n	3.52	2
生产	vn	3.51	2
历史	n	3.51	2
水平	n	3.51	2
世纪	n	3.51	2
决定	v	3.51	2
民族	n	3.51	2
重点	n	3.51	2
利用	v	3.51	2
计划	n	3.51	2
保护	v	3.51	2
人才	n	3.51	2
意见	n	3.51	2
获得	v	3.51	2
原因	n	3.51	2
变化	vn	3.51	2
阶段	n	3.51	2
行业	n	3.51	2
宣布	v	3.51	2
意识	n	3.51	2
需求	n	3.51	2
控制	v	3.51	2
确定	v	3.51	2
创新	vi	3.51	2
感到	v	3.51	2
速度	n	3.51	2
犯罪	vn	3.51	2
表明	v	3.51	2
程度	n	3.51	2
儿童	n	3.51	2
武器	n	3.51	2
成就	n	3.51	2
证明	v	3.51	2
挑战	vn	3.51	2
医疗	n	3.51	2
公布	v	3.51	2
导致	v	3.51	2
运用	v	3.51	2
经历	v	3.51	2
前进	vi	3.51	2
事实	n	3.51	2
感谢	v	3.51	2
相关	vn	3.51	2
避免	v	3.51	2
